,Age,Gender,AcademicStatus,TypeSocialMedia,HoursSMuse,FrqUse,SMCap_1,SMCap_2,EduOutcome,PerformanceExpentancy,EasyofUse,EffortExpentancy,SocialInfuence,SocialMediaRisk,FacilitatingConditions,SelfControl,BehaviouralIntentiontoUse,VountarinessofUse,Experience
280,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,yes
281,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,no
282,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,no
283,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Often,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,no
284,25-34,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,no
285,25-34,Male,Student - Full time,Facebook,1-3 hours,Rarely,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,no
286,18 - 24,Female,Student - Full time,Instagram,3-5 hours,Always,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,yes
287,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,no
288,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,yes
289,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,yes
290,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,no
291,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,yes
292,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,no
293,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,no
294,more than 35,Male,Student - Full time,Facebook,1-3 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,no
295,25-34,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,yes
296,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
297,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,no
298,18 - 24,Female,Non Students,Facebook,3-5 hours,Always,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,Neutral,no
299,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,yes
300,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,no
301,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
302,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,no
303,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
304,25-34,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,no
305,25-34,Male,Student - Full time,Whatsapp,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,no
306,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,yes
307,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Often,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,no
308,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
309,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
310,25-34,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,no
311,18 - 24,Male,Non Students,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,no
312,25-34,Female,Student - Full time,YouTube,Less than an hour,Rarely,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
313,25-34,Female,Student - Full time,Facebook,3-5 hours,Rarely,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,no
314,25-34,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
315,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
316,more than 35,Female,Student - Full time,Facebook,Less than an hour,Rarely,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
317,25-34,Female,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,yes
318,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,no
319,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,yes
320,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,no
321,25-34,Male,Non Students,Facebook,1-3 hours,Sometimes,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
322,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
323,more than 35,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
324,more than 35,Male,Student - Full time,Whatsapp,1-3 hours,Rarely,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,no
325,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,no
326,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
327,18 - 24,Male,Student - Part time or Distance Learning,Instagram,1-3 hours,Rarely,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
328,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
329,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
330,25-34,Male,Student - Full time,YouTube,Less than an hour,Often,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,yes
331,25-34,Male,Student - Full time,YouTube,1-3 hours,Rarely,Neutral,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,yes
332,25-34,Male,Student - Part time or Distance Learning,Facebook,Less than an hour,Often,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,yes
333,more than 35,Male,Student - Full time,Others,Less than an hour,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,yes
334,18 - 24,Female,Student - Full time,Instagram,3-5 hours,Rarely,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,no
335,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,yes
336,18 - 24,Male,Student - Full time,Whatsapp,Less than an hour,Never,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,yes
337,25-34,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,yes
338,18 - 24,Female,Student - Full time,Twitter,3-5 hours,Always,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,yes
339,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,yes
340,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,no
341,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
342,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,yes
343,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,no
344,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,yes
345,18 - 24,Female,Non Students,Facebook,1-3 hours,Often,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
346,25-34,Male,Student - Full time,YouTube,1-3 hours,Often,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,yes
347,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Neutral,Neutral,Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,no
348,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,no
349,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,no
350,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
351,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
352,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,no
353,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,no
354,18 - 24,Female,Student - Full time,Instagram,3-5 hours,Often,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,no
355,25-34,Female,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
356,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,yes
357,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,no
358,25-34,Male,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,yes
359,25-34,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,yes
360,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,yes
361,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,yes
362,more than 35,Male,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,no
363,25-34,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,no
364,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,no
365,25-34,Male,Student - Full time,Facebook,Less than an hour,Rarely,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,yes
366,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Rarely,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,yes
367,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,yes
368,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,no
369,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Always,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,no
370,25-34,Male,Student - Full time,Whatsapp,Less than an hour,Rarely,Neutral,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,no
371,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,no
372,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,no
373,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,no
374,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,yes
375,18 - 24,Male,Student - Full time,Whatsapp,3-5 hours,Sometimes,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,yes
376,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,yes
377,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,yes
378,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,yes
379,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,yes
380,25-34,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,yes
381,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
382,25-34,Male,Student - Full time,Facebook,3-5 hours,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
383,18 - 24,Female,Student - Full time,Whatsapp,More than 5 hours,Sometimes,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
384,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,yes
385,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
386,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,yes
387,25-34,Female,Student - Full time,Facebook,1-3 hours,Rarely,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,yes
388,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,no
389,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,yes
390,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Neutral,yes
391,25-34,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,yes
392,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Rarely,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,yes
393,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,yes
394,25-34,Male,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
395,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,yes
396,25-34,Female,Student - Full time,Facebook,Less than an hour,Always,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,no
397,25-34,Female,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,yes
398,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,yes
399,more than 35,Male,Student - Full time,Whatsapp,Less than an hour,Rarely,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,yes
400,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Often,Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,yes
401,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,no
402,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,yes
403,25-34,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
404,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,yes
405,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
406,25-34,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,no
407,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,yes
408,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,yes
409,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,yes
410,18 - 24,Male,Student - Full time,Instagram,1-3 hours,Always,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,yes
411,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,no
412,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,no
413,25-34,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,yes
414,25-34,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,no
